symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
SBICARD,INE018E01016,2023-11-06,NSE,EQ,EQ,buy,false,49.000000,753.350000,64916466,1300000026453032,2023-11-06T14:20:53
SBICARD,INE018E01016,2023-11-06,NSE,EQ,EQ,buy,false,65.000000,753.400000,64916467,1300000026453032,2023-11-06T14:20:53
SBICARD,INE018E01016,2023-11-06,NSE,EQ,EQ,buy,false,16.000000,753.400000,64916468,1300000026453032,2023-11-06T14:20:53
WIPRO,INE075A01022,2023-11-15,NSE,EQ,EQ,buy,false,150.000000,388.750000,64181244,1300000018938866,2023-11-15T12:26:41
WIPRO,INE075A01022,2023-11-15,NSE,EQ,EQ,buy,false,15.000000,388.750000,64181245,1300000018938866,2023-11-15T12:26:41
WIPRO,INE075A01022,2023-11-15,NSE,EQ,EQ,buy,false,2.000000,388.750000,64181246,1300000018938866,2023-11-15T12:26:41
WIPRO,INE075A01022,2023-11-15,NSE,EQ,EQ,buy,false,83.000000,388.800000,64181247,1300000018938866,2023-11-15T12:26:41
CROMPTON,INE299U01018,2023-11-20,NSE,EQ,EQ,sell,false,357.000000,286.650000,4478104,1000000030413609,2023-11-20T14:58:53
CROMPTON,INE299U01018,2023-11-20,NSE,EQ,EQ,sell,false,43.000000,286.600000,4478105,1000000030413609,2023-11-20T14:58:53
KOTAKBANK,INE237A01028,2023-11-20,NSE,EQ,EQ,buy,false,16.000000,1773.500000,46035562,1200000036306720,2023-11-20T14:59:25
KOTAKBANK,INE237A01028,2023-11-20,NSE,EQ,EQ,buy,false,1.000000,1773.500000,46035563,1200000036306720,2023-11-20T14:59:25
KOTAKBANK,INE237A01028,2023-11-20,NSE,EQ,EQ,buy,false,4.000000,1773.500000,46035564,1200000036306720,2023-11-20T14:59:25
KOTAKBANK,INE237A01028,2023-11-20,NSE,EQ,EQ,buy,false,13.000000,1773.500000,46035565,1200000036306720,2023-11-20T14:59:25
KOTAKBANK,INE237A01028,2023-11-20,NSE,EQ,EQ,buy,false,26.000000,1773.500000,46035566,1200000036306720,2023-11-20T14:59:25
ASTRAL,INE006I01046,2023-11-21,NSE,EQ,EQ,buy,false,8.000000,1918.450000,1726884,1000000011752975,2023-11-21T10:52:48
ASTRAL,INE006I01046,2023-11-21,NSE,EQ,EQ,buy,false,1.000000,1918.500000,1726885,1000000011752975,2023-11-21T10:52:48
ASTRAL,INE006I01046,2023-11-21,NSE,EQ,EQ,buy,false,13.000000,1918.850000,1726886,1000000011752975,2023-11-21T10:52:48
ASTRAL,INE006I01046,2023-11-21,NSE,EQ,EQ,buy,false,13.000000,1918.950000,1726887,1000000011752975,2023-11-21T10:52:48
ASTRAL,INE006I01046,2023-11-21,NSE,EQ,EQ,buy,false,20.000000,1918.950000,1726888,1000000011752975,2023-11-21T10:52:48
TATAELXSI,INE670A01012,2023-11-21,NSE,EQ,EQ,buy,false,5.000000,8433.200000,67211432,1300000033392192,2023-11-21T15:19:00
TATAELXSI,INE670A01012,2023-11-21,NSE,EQ,EQ,buy,false,1.000000,8433.200000,67211433,1300000033392192,2023-11-21T15:19:00
TATAELXSI,INE670A01012,2023-11-21,NSE,EQ,EQ,buy,false,1.000000,8433.000000,67211430,1300000033392192,2023-11-21T15:19:00
TATAELXSI,INE670A01012,2023-11-21,NSE,EQ,EQ,buy,false,5.000000,8433.200000,67211431,1300000033392192,2023-11-21T15:19:00
